index,Sub-Category,Order Date,Sales,Year,Month
0,Accessories,2015-01-09,31.2,2015,1
1,Accessories,2015-01-13,646.74,2015,1
2,Accessories,2015-01-15,149.95,2015,1
3,Accessories,2015-02-01,468.9,2015,2
4,Accessories,2015-02-07,115.36,2015,2
5,Accessories,2015-02-11,234.45,2015,2
6,Accessories,2015-02-14,239.97,2015,2
7,Accessories,2015-02-20,62.31,2015,2
8,Accessories,2015-03-05,479.97,2015,3
9,Accessories,2015-03-11,32.96,2015,3
10,Accessories,2015-03-14,82.8,2015,3
11,Accessories,2015-03-19,170.24,2015,3
12,Accessories,2015-03-25,45.48,2015,3
13,Accessories,2015-03-26,66.3,2015,3
14,Accessories,2015-03-31,79.984,2015,3
15,Accessories,2015-04-04,99.98,2015,4
16,Accessories,2015-04-06,450.654,2015,4
17,Accessories,2015-04-08,399.96,2015,4
18,Accessories,2015-04-11,937.36,2015,4
19,Accessories,2015-04-18,227.976,2015,4
20,Accessories,2015-04-28,159.98,2015,4
21,Accessories,2015-04-30,47.79,2015,4
22,Accessories,2015-05-09,235.76999999999998,2015,5
23,Accessories,2015-05-11,104.976,2015,5
24,Accessories,2015-05-13,149.97,2015,5
25,Accessories,2015-05-16,56.4,2015,5
26,Accessories,2015-05-20,20.784,2015,5
27,Accessories,2015-05-27,99.99,2015,5
28,Accessories,2015-05-28,27.6,2015,5
29,Accessories,2015-06-09,63.984,2015,6
30,Accessories,2015-06-21,95.968,2015,6
31,Accessories,2015-06-22,196.752,2015,6
32,Accessories,2015-06-23,86.376,2015,6
33,Accessories,2015-06-27,223.96,2015,6
34,Accessories,2015-07-05,479.97,2015,7
35,Accessories,2015-07-12,23.84,2015,7
36,Accessories,2015-07-15,2.97,2015,7
37,Accessories,2015-07-20,41.94,2015,7
38,Accessories,2015-07-22,159.98,2015,7
39,Accessories,2015-07-23,1647.9560000000001,2015,7
40,Accessories,2015-07-26,714.0360000000001,2015,7
41,Accessories,2015-07-27,238.0,2015,7
42,Accessories,2015-08-02,21.2,2015,8
43,Accessories,2015-08-04,255.42,2015,8
44,Accessories,2015-08-05,16.36,2015,8
45,Accessories,2015-08-06,262.89,2015,8
46,Accessories,2015-08-08,95.976,2015,8
47,Accessories,2015-08-12,158.928,2015,8
48,Accessories,2015-08-17,339.96,2015,8
49,Accessories,2015-08-25,95.1,2015,8
50,Accessories,2015-08-26,326.77,2015,8
51,Accessories,2015-08-31,92.52,2015,8
52,Accessories,2015-09-01,357.0,2015,9
53,Accessories,2015-09-02,715.9200000000001,2015,9
54,Accessories,2015-09-07,46.688,2015,9
55,Accessories,2015-09-08,166.82999999999998,2015,9
56,Accessories,2015-09-09,64.704,2015,9
57,Accessories,2015-09-12,72.616,2015,9
58,Accessories,2015-09-13,714.94,2015,9
59,Accessories,2015-09-17,103.904,2015,9
60,Accessories,2015-09-20,59.98,2015,9
61,Accessories,2015-09-26,3.152,2015,9
62,Accessories,2015-10-02,7.16,2015,10
63,Accessories,2015-10-03,142.488,2015,10
64,Accessories,2015-10-05,99.98,2015,10
65,Accessories,2015-10-06,9.09,2015,10
66,Accessories,2015-10-08,23.472,2015,10
67,Accessories,2015-10-11,345.0,2015,10
68,Accessories,2015-10-13,48.74,2015,10
69,Accessories,2015-10-14,177.0,2015,10
70,Accessories,2015-10-16,179.97,2015,10
71,Accessories,2015-10-17,119.976,2015,10
72,Accessories,2015-10-20,319.968,2015,10
73,Accessories,2015-10-25,40.776,2015,10
74,Accessories,2015-10-29,1.98,2015,10
75,Accessories,2015-10-31,251.91,2015,10
76,Accessories,2015-11-02,841.8599999999999,2015,11
77,Accessories,2015-11-03,89.97,2015,11
78,Accessories,2015-11-04,360.0,2015,11
79,Accessories,2015-11-05,157.766,2015,11
80,Accessories,2015-11-10,10.99,2015,11
81,Accessories,2015-11-11,102.13,2015,11
82,Accessories,2015-11-12,79.512,2015,11
83,Accessories,2015-11-15,772.47,2015,11
84,Accessories,2015-11-17,99.98,2015,11
85,Accessories,2015-11-19,76.49600000000001,2015,11
86,Accessories,2015-11-21,94.99,2015,11
87,Accessories,2015-11-23,35.534,2015,11
88,Accessories,2015-11-24,111.79,2015,11
89,Accessories,2015-11-25,24.672,2015,11
90,Accessories,2015-11-28,139.93,2015,11
91,Accessories,2015-11-30,102.24,2015,11
92,Accessories,2015-12-02,245.70999999999998,2015,12
93,Accessories,2015-12-05,408.744,2015,12
94,Accessories,2015-12-08,103.92,2015,12
95,Accessories,2015-12-14,298.976,2015,12
96,Accessories,2015-12-16,494.98,2015,12
97,Accessories,2015-12-19,247.8,2015,12
98,Accessories,2015-12-20,585.36,2015,12
99,Accessories,2015-12-24,62.85,2015,12
100,Accessories,2015-12-27,498.0,2015,12
101,Accessories,2015-12-29,119.8,2015,12
102,Accessories,2015-12-30,75.952,2015,12
103,Accessories,2015-12-31,1884.07,2015,12
104,Accessories,2016-01-02,89.584,2016,1
105,Accessories,2016-01-03,398.4,2016,1
106,Accessories,2016-01-12,10.384,2016,1
107,Accessories,2016-02-03,149.97,2016,2
108,Accessories,2016-02-06,18.528,2016,2
109,Accessories,2016-02-09,500.752,2016,2
110,Accessories,2016-02-14,71.976,2016,2
111,Accessories,2016-02-15,139.95,2016,2
112,Accessories,2016-02-20,29.99,2016,2
113,Accessories,2016-02-27,538.92,2016,2
114,Accessories,2016-03-05,10.312,2016,3
115,Accessories,2016-03-07,119.85,2016,3
116,Accessories,2016-03-09,113.52,2016,3
117,Accessories,2016-03-17,15.02,2016,3
118,Accessories,2016-03-22,466.336,2016,3
119,Accessories,2016-03-23,239.97,2016,3
120,Accessories,2016-03-26,16.776,2016,3
121,Accessories,2016-03-28,166.24,2016,3
122,Accessories,2016-03-29,53.25,2016,3
123,Accessories,2016-04-02,98.096,2016,4
124,Accessories,2016-04-05,239.94,2016,4
125,Accessories,2016-04-06,25.488,2016,4
126,Accessories,2016-04-07,383.952,2016,4
127,Accessories,2016-04-11,85.14,2016,4
128,Accessories,2016-04-13,199.96,2016,4
129,Accessories,2016-04-16,43.56,2016,4
130,Accessories,2016-04-17,422.97,2016,4
131,Accessories,2016-04-18,147.924,2016,4
132,Accessories,2016-05-03,367.512,2016,5
133,Accessories,2016-05-10,46.688,2016,5
134,Accessories,2016-05-16,255.968,2016,5
135,Accessories,2016-05-25,207.984,2016,5
136,Accessories,2016-05-26,167.944,2016,5
137,Accessories,2016-05-30,151.96,2016,5
138,Accessories,2016-06-04,1109.95,2016,6
139,Accessories,2016-06-08,2.376,2016,6
140,Accessories,2016-06-09,72.6,2016,6
141,Accessories,2016-06-11,53.7,2016,6
142,Accessories,2016-06-13,67.98,2016,6
143,Accessories,2016-06-15,11.672,2016,6
144,Accessories,2016-06-20,319.984,2016,6
145,Accessories,2016-06-23,75.0,2016,6
146,Accessories,2016-06-26,41.9,2016,6
147,Accessories,2016-07-05,34.8,2016,7
148,Accessories,2016-07-16,599.9,2016,7
149,Accessories,2016-07-18,519.96,2016,7
150,Accessories,2016-07-20,831.2,2016,7
151,Accessories,2016-07-24,279.86,2016,7
152,Accessories,2016-07-30,209.93,2016,7
153,Accessories,2016-07-31,2549.35,2016,7
154,Accessories,2016-08-02,199.98,2016,8
155,Accessories,2016-08-09,247.8,2016,8
156,Accessories,2016-08-16,31.176,2016,8
157,Accessories,2016-08-17,282.88,2016,8
158,Accessories,2016-08-21,21.728,2016,8
159,Accessories,2016-08-23,251.91,2016,8
160,Accessories,2016-08-24,105.96,2016,8
161,Accessories,2016-08-29,114.52,2016,8
162,Accessories,2016-08-31,36.51,2016,8
163,Accessories,2016-09-03,147.35,2016,9
164,Accessories,2016-09-04,754.326,2016,9
165,Accessories,2016-09-06,46.32,2016,9
166,Accessories,2016-09-07,649.93,2016,9
167,Accessories,2016-09-11,19.99,2016,9
168,Accessories,2016-09-12,21.98,2016,9
169,Accessories,2016-09-13,199.96,2016,9
170,Accessories,2016-09-17,747.068,2016,9
171,Accessories,2016-09-18,717.12,2016,9
172,Accessories,2016-09-19,66.36,2016,9
173,Accessories,2016-09-21,151.2,2016,9
174,Accessories,2016-09-22,617.976,2016,9
175,Accessories,2016-09-24,23.2,2016,9
176,Accessories,2016-09-25,1123.85,2016,9
177,Accessories,2016-09-26,289.8,2016,9
178,Accessories,2016-10-01,108.768,2016,10
179,Accessories,2016-10-02,143.04,2016,10
180,Accessories,2016-10-03,71.98400000000001,2016,10
181,Accessories,2016-10-05,341.04,2016,10
182,Accessories,2016-10-09,619.95,2016,10
183,Accessories,2016-10-11,31.95,2016,10
184,Accessories,2016-10-12,17.9,2016,10
185,Accessories,2016-10-15,603.8399999999999,2016,10
186,Accessories,2016-10-18,27.696,2016,10
187,Accessories,2016-10-19,270.0,2016,10
188,Accessories,2016-10-20,239.97,2016,10
189,Accessories,2016-10-23,148.32,2016,10
190,Accessories,2016-11-01,1435.29,2016,11
191,Accessories,2016-11-02,447.93,2016,11
192,Accessories,2016-11-03,89.97,2016,11
193,Accessories,2016-11-08,491.87,2016,11
194,Accessories,2016-11-09,913.9300000000001,2016,11
195,Accessories,2016-11-10,79.9,2016,11
196,Accessories,2016-11-13,350.856,2016,11
197,Accessories,2016-11-14,396.628,2016,11
198,Accessories,2016-11-16,999.96,2016,11
199,Accessories,2016-11-20,13.98,2016,11
200,Accessories,2016-11-21,416.884,2016,11
201,Accessories,2016-11-22,27.168,2016,11
202,Accessories,2016-11-24,13.98,2016,11
203,Accessories,2016-11-27,556.896,2016,11
204,Accessories,2016-11-29,21.48,2016,11
205,Accessories,2016-12-03,36.784,2016,12
206,Accessories,2016-12-05,86.98400000000001,2016,12
207,Accessories,2016-12-06,1619.91,2016,12
208,Accessories,2016-12-08,236.0,2016,12
209,Accessories,2016-12-10,127.428,2016,12
210,Accessories,2016-12-11,393.294,2016,12
211,Accessories,2016-12-12,322.308,2016,12
212,Accessories,2016-12-13,285.09,2016,12
213,Accessories,2016-12-14,50.0,2016,12
214,Accessories,2016-12-15,2925.27,2016,12
215,Accessories,2016-12-18,166.24,2016,12
216,Accessories,2016-12-19,3541.2479999999996,2016,12
217,Accessories,2016-12-20,356.768,2016,12
218,Accessories,2016-12-21,787.9200000000001,2016,12
219,Accessories,2016-12-25,843.9,2016,12
220,Accessories,2016-12-27,85.392,2016,12
221,Accessories,2016-12-28,54.384,2016,12
222,Accessories,2017-01-03,195.68,2017,1
223,Accessories,2017-01-05,191.472,2017,1
224,Accessories,2017-01-09,349.95,2017,1
225,Accessories,2017-01-10,69.98,2017,1
226,Accessories,2017-01-15,254.97,2017,1
